FBtr0081691,scaffold_14906,80.874,366,53,11,67,431,11564281,11564630,1.30e-71,272
FBtr0081691,scaffold_14906,76.212,433,76,3,141,573,11569410,11569815,4.82e-51,204
FBtr0072393,scaffold_15245,97.778,45,1,0,377,421,16750861,16750817,5.64e-13,78.7
FBtr0343753,scaffold_15074,78.453,181,37,2,3059,3238,2695446,2695267,3.10e-24,117
FBtr0433525,scaffold_15074,78.453,181,37,2,3215,3394,2695446,2695267,3.24e-24,117
FBtr0334135,scaffold_15126,83.130,901,150,1,1784,2682,6482686,6481786,0.0,821
FBtr0334135,scaffold_15126,97.531,81,2,0,4271,4351,6479288,6479208,8.73e-31,139
FBtr0334135,scaffold_15126,97.297,74,0,2,4128,4201,6479496,6479425,2.45e-26,124
FBtr0334135,scaffold_15126,85.965,114,16,0,1423,1536,6498570,6498457,8.79e-26,122
FBtr0334135,scaffold_8642,85.484,434,63,0,1784,2217,4326,4759,2.75e-125,453
FBtr0334137,scaffold_15126,83.130,901,150,1,868,1766,6482686,6481786,0.0,821
FBtr0334137,scaffold_15126,97.531,81,2,0,3355,3435,6479288,6479208,8.47e-31,139
FBtr0334137,scaffold_15126,97.297,74,0,2,3212,3285,6479496,6479425,2.37e-26,124
FBtr0334137,scaffold_15126,95.312,64,2,1,4498,4561,6477702,6477640,4.00e-19,100
FBtr0334137,scaffold_15126,100.000,32,0,0,407,438,1307559,1307528,6.78e-07,60.2
FBtr0334137,scaffold_15126,100.000,31,0,0,408,438,2360061,2360091,2.44e-06,58.4
FBtr0334137,scaffold_15126,100.000,31,0,0,408,438,2360067,2360097,2.44e-06,58.4
FBtr0334137,scaffold_15126,100.000,31,0,0,408,438,2360073,2360103,2.44e-06,58.4
FBtr0334137,scaffold_15126,100.000,31,0,0,408,438,2360079,2360109,2.44e-06,58.4
FBtr0334137,scaffold_15126,100.000,31,0,0,408,438,2360085,2360115,2.44e-06,58.4
FBtr0334137,scaffold_15126,100.000,31,0,0,408,438,2360091,2360121,2.44e-06,58.4
FBtr0334137,scaffold_15126,100.000,31,0,0,408,438,6632858,6632888,2.44e-06,58.4
FBtr0334137,scaffold_15126,96.970,33,1,0,408,440,1307552,1307520,8.77e-06,56.5
FBtr0334137,scaffold_15126,100.000,30,0,0,408,437,4497778,4497749,8.77e-06,56.5
FBtr0334137,scaffold_15126,96.774,31,1,0,408,438,197091,197061,1.13e-04,52.8
FBtr0334137,scaffold_15126,94.286,35,1,1,407,440,355597,355631,1.13e-04,52.8
